//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
22 22 22	220 212 130	255 255 255	0 23 24	0 31 32	255 128 0	5 0 0	1.00 1.00 0.30 200 100 0	400.00 100.00 1.00 30 20 0	3 3 3	85 85 65 240	127 87 87 87	127 60 121 122	0 90 0 1.00
//5AM
22 22 22	194 194 142	255 255 255	0 20 20	0 31 32	255 128 0	255 128 0	0.00 1.00 0.20 150 100 0	400.00 100.00 1.00 35 9 10	27 30 36	53 104 104 240	127 80 80 80	127 60 190 190	0 90 0 1.00
//6AM
22 22 22	210 194 182	255 255 255	90 205 255	200 144 85	255 128 0	255 128 0	8.40 1.00 0.30 140 93 0	800.00 100.00 0.80 100 34 25	120 92 88	90 170 170 240	127 86 86 86	127 149 94 0	25 120 0 1.00
//7AM
5 0 0	210 194 182	255 255 255	90 205 255	90 200 255	255 255 255	255 255 255	2.20 1.00 0.30 100 50 75	800.00 100.00 0.50 120 40 40	159 142 106	145 170 170 240	111 133 106 70	127 96 61 15	25 180 0 1.00
//Midday
11 0 0	210 194 182	255 255 255	68 117 210	36 117 199	255 255 255	255 255 255	1.10 1.00 0.00 236 0 190	800.00 10.00 0.00 44 34 23	145 164 183	90 170 170 240	127 66 66 48	127 166 129 60	25 180 0 1.00
//7PM
8 5 5	255 255 182	255 255 255	68 117 210	36 117 194	222 88 0	122 55 0	3.90 1.00 0.00 110 40 75	800.00 10.00 0.80 120 40 40	200 123 96	50 97 97 240	106 124 124 107	127 86 50 10	25 180 0 1.00
//8PM
25 14 14	210 194 182	255 255 255	181 150 84	167 108 65	255 128 0	255 128 0	2.00 1.00 0.40 100 60 0	800.00 10.00 1.00 120 40 40	72 107 159	67 67 67 240	127 81 85 40	127 66 27 0	25 140 0 1.00
//10PM
21 20 20	210 194 182	255 255 255	137 100 84	60 50 52	255 128 0	5 8 0	1.00 1.00 0.30 160 100 0	600.00 10.00 1.00 70 27 10	15 11 34	67 67 62 240	127 209 143 84	127 76 51 0	25 90 0 1.00
//
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
0 20 20	210 194 182	255 255 255	5 12 15	12 14 13	255 128 0	5 0 0	1.00 0.40 0.40 200 100 0	800.00 100.00 1.00 0 0 0	3 3 3	85 85 65 240	127 110 126 210	212 0 81 104	55 220 0 1.00
//5AM
6 20 20	210 194 182	255 255 255	0 0 7	19 39 37	255 128 0	255 128 0	0.00 0.30 0.80 150 100 0	800.00 100.00 1.00 0 0 0	14 15 18	25 51 52 240	127 102 132 227	162 4 85 95	90 220 0 1.00
//6AM
22 17 8	210 194 182	255 255 255	90 205 255	200 144 85	255 128 0	255 128 0	1.20 0.50 0.20 140 93 0	800.00 100.00 0.80 100 34 25	120 92 88	90 170 170 240	127 86 86 86	127 149 94 0	177 220 0 1.00
//7AM
12 4 0	210 194 182	255 255 255	63 205 255	62 200 255	255 128 0	255 128 0	2.20 1.00 0.00 211 0 149	800.00 100.00 0.50 120 40 40	159 142 106	145 170 170 240	127 58 110 115	121 123 70 14	177 220 0 1.00
//Midday
12 10 0	210 194 182	255 255 255	30 117 210	53 162 227	189 175 0	168 98 14	1.70 1.00 0.00 236 0 190	800.00 100.00 0.00 44 34 23	129 128 123	90 170 170 240	120 70 121 120	127 160 88 21	88 220 0 1.00
//7PM
16 10 0	210 194 182	255 255 255	74 156 208	67 144 182	198 128 0	255 128 0	7.50 1.00 0.00 110 40 75	800.00 100.00 0.80 120 40 40	155 155 155	50 97 97 240	106 90 123 113	127 114 61 10	88 220 0 1.00
//8PM
12 10 4	210 194 182	255 255 255	181 150 84	167 118 65	255 128 0	255 128 0	2.00 1.00 0.20 100 60 0	800.00 43.00 1.00 0 0 0	163 83 63	67 67 67 240	127 129 93 71	127 66 27 0	177 220 0 1.00
//10PM
22 20 10	210 194 182	255 255 255	172 143 88	167 118 65	255 128 0	5 8 0	1.00 0.40 0.40 160 100 0	800.00 41.00 1.00 70 27 10	55 55 55	67 67 62 240	127 129 0 0	127 66 106 0	111 60 0 1.00
//
//////////// EXTRASUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
33 33 33	249 244 235	255 255 255	19 14 19	6 6 17	255 128 0	5 0 0	1.00 0.30 0.90 200 102 0	800.00 100.00 1.00 30 20 0	3 3 3	85 85 65 240	127 50 61 114	127 14 46 55	25 80 0 1.00
//5AM
22 33 33	210 194 182	255 255 255	16 16 22	15 15 20	255 128 0	255 128 0	0.00 0.30 0.90 150 100 0	800.00 50.00 1.00 35 9 10	27 30 36	53 104 104 240	127 93 90 114	127 34 40 30	25 80 0 1.00
//6AM
20 16 16	210 194 182	255 255 255	90 205 255	200 144 85	255 128 0	255 128 0	8.40 0.20 0.40 140 93 0	800.00 50.00 0.80 100 34 25	120 92 88	90 170 170 240	127 86 86 86	127 149 94 0	25 120 0 1.00
//7AM
11 7 1	210 194 182	255 255 255	90 205 255	114 148 166	255 128 0	255 128 0	1.20 0.20 0.80 100 50 75	800.00 10.00 0.50 120 40 40	159 142 106	145 170 170 240	127 106 107 84	127 96 61 15	25 120 0 1.00
//Midday
14 7 2	210 194 182	255 255 255	90 147 255	129 148 182	255 128 0	255 128 0	1.00 0.20 0.30 236 0 190	800.00 10.00 0.00 44 34 23	145 164 183	90 170 170 240	127 82 80 43	127 125 94 40	25 50 0 1.00
//7PM
10 10 5	210 194 182	255 255 255	93 127 157	90 144 182	198 128 0	255 128 0	7.50 0.30 1.00 110 40 103	800.00 10.00 0.80 120 40 40	200 123 96	50 97 97 240	106 124 93 67	127 86 50 10	25 150 0 1.00
//8PM
10 5 5	210 194 182	255 255 255	181 150 84	167 118 65	255 128 0	255 128 0	2.00 0.30 1.00 100 60 0	800.00 10.00 1.00 120 40 40	72 107 159	67 67 67 240	127 121 102 80	127 44 24 0	25 150 0 1.00
//10PM
22 12 15	255 222 222	255 255 255	209 150 84	167 118 65	255 128 0	5 8 0	1.00 0.30 0.30 160 100 0	800.00 10.00 1.00 70 27 10	15 11 34	67 67 62 240	127 124 124 124	127 44 24 0	25 80 0 1.00
//
//////////// SUNNY_SMOG_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
33 33 33	210 188 166	255 255 255	22 5 12	13 13 31	255 128 0	5 0 0	1.00 0.40 0.60 200 100 0	800.00 155.00 1.00 30 20 0	3 3 3	85 85 65 240	127 57 87 87	127 21 27 88	122 90 0 1.00
//5AM
33 33 33	210 194 182	255 255 255	15 15 16	14 14 20	255 128 0	255 128 0	0.00 0.40 1.00 150 100 0	800.00 155.00 1.00 35 9 10	27 30 36	53 104 104 240	127 50 78 114	127 34 40 30	122 90 0 1.00
//6AM
33 33 33	210 194 182	255 255 255	90 205 255	200 144 85	255 128 0	255 128 0	8.40 0.30 0.90 140 93 0	800.00 100.00 0.80 100 34 25	120 92 88	90 170 170 240	127 86 86 86	127 149 94 0	122 120 0 1.00
//7AM
20 11 5	210 194 182	255 255 255	90 205 255	222 204 200	255 128 0	255 128 0	1.20 0.20 0.10 236 50 75	800.00 100.00 0.50 120 40 40	159 142 106	145 170 170 240	127 106 106 106	127 96 61 15	122 180 0 1.00
//Midday
15 7 0	210 194 182	255 255 255	79 140 243	143 175 175	255 128 0	255 128 0	2.50 1.00 0.10 236 0 190	800.00 80.00 0.00 44 34 23	145 164 183	90 170 170 240	127 127 123 110	127 99 74 10	122 180 0 1.00
//7PM
15 11 0	210 194 182	255 255 255	109 142 157	90 144 182	255 55 0	255 255 255	4.30 0.30 0.40 222 40 75	800.00 10.00 0.80 120 40 40	200 123 96	50 97 97 240	106 124 124 107	127 86 50 10	122 180 0 1.00
//8PM
15 5 0	210 194 182	255 255 255	181 150 84	167 118 65	255 128 0	255 128 0	2.00 0.30 0.70 100 60 0	800.00 10.00 1.00 120 40 40	72 107 159	67 67 67 240	127 121 93 71	127 44 24 0	122 120 0 1.00
//10PM
